ID,assignment,country,year
SD747,Cosmopolitan AF1b,Tanzania,2019
SD749,Cosmopolitan AF1b,Tanzania,2019
SD750,Cosmopolitan AF1b,Tanzania,2019
SD751,Cosmopolitan AF1b,Tanzania,2019
SD753,Cosmopolitan AF1b,Tanzania,2019
SD754,Cosmopolitan AF1b,Tanzania,2020
SD755,Cosmopolitan AF1b,Tanzania,2021
SD756,Cosmopolitan AF1b,Tanzania,2021
SD759,Cosmopolitan AF1b,Tanzania,2019
SD760,Cosmopolitan AF1b,Tanzania,2020
SD761,Cosmopolitan AF1b,Tanzania,2020
SD763,Cosmopolitan AF1b,Tanzania,2020
SD764,Cosmopolitan AF1b,Tanzania,2021
SD766,Cosmopolitan AF1b,Tanzania,2020
SD767,Cosmopolitan AF1b,Tanzania,2020
SD782,Cosmopolitan AF1b,Tanzania,2021
SD785,Cosmopolitan AF1b,Tanzania,2021
SD789,Cosmopolitan AF1b,Tanzania,2020
SD790,Cosmopolitan AF1b,Tanzania,2021
SD791,Cosmopolitan AF1b,Tanzania,2020
SD792,Cosmopolitan AF1b,Tanzania,2021
SD793,Cosmopolitan AF1b,Tanzania,2021
SD799,Cosmopolitan AF1b,Tanzania,2021
SD801,Cosmopolitan AF1b,Tanzania,2021
SD802,Cosmopolitan AF1b,Tanzania,2021
SD804,Cosmopolitan AF1b,Tanzania,2021
SD806,Cosmopolitan AF1b,Tanzania,2021
SD807,Cosmopolitan AF1b,Tanzania,2021
SD809,Cosmopolitan AF1b,Tanzania,2021
SD810,Cosmopolitan AF1b,Tanzania,2021
SD812,Cosmopolitan AF1b,Tanzania,2021
SD813,Cosmopolitan AF1b,Tanzania,2021
SD815,Cosmopolitan AF1b,Tanzania,2021
SD816,Cosmopolitan AF1b,Tanzania,2022
SD817,Cosmopolitan AF1b,Tanzania,2022
SD818,Cosmopolitan AF1b,Tanzania,2022
SD821,Cosmopolitan AF1b,Tanzania,2022
SD823,Cosmopolitan AF1b,Tanzania,2022
SD825,Cosmopolitan AF1b,Tanzania,2022
SD826,Cosmopolitan AF1b,Tanzania,2022
SD827,Cosmopolitan AF1b,Tanzania,2022
SD828,Cosmopolitan AF1b,Tanzania,2022
SD830,Cosmopolitan AF1b,Tanzania,2022
SD831,Cosmopolitan AF1b,Tanzania,2022
SD832,Cosmopolitan AF1b,Tanzania,2022
SD834,Cosmopolitan AF1b,Tanzania,2022
SD835,Cosmopolitan AF1b,Tanzania,2022
SD837,Cosmopolitan AF1b,Tanzania,2022
SD846,Cosmopolitan AF1b,Tanzania,2022
TAN1019,Cosmopolitan AF1b,Tanzania,2022
Z0083186,Cosmopolitan AF1b,Kenya,2018
Z0083192,Cosmopolitan AF1b,Kenya,2020
Z0083197,Cosmopolitan AF1b,Kenya,2021
Z0083198,Cosmopolitan AF1b,Kenya,2021
Z0083200,Cosmopolitan AF1b,Kenya,2021
Z0083201,Cosmopolitan AF1b,Kenya,2021
Z0083202,Cosmopolitan AF1b,Kenya,2021
Z0083203,Cosmopolitan AF1b,Kenya,2021
Z0083204,Cosmopolitan AF1b,Kenya,2021
Z0083205,Cosmopolitan AF1b,Kenya,2021
Z0083214,Cosmopolitan AF1b,Kenya,2021
Z0083215,Cosmopolitan AF1b,Kenya,2021
Z0083216,Cosmopolitan AF1b,Kenya,2021
Z0083218,Cosmopolitan AF1b,Kenya,2021
Z0083219,Cosmopolitan AF1b,Kenya,2021
Z0083220,Cosmopolitan AF1b,Kenya,2021
Z0083221,Cosmopolitan AF1b,Kenya,2021
Z0083222,Cosmopolitan AF1b,Kenya,2021
Z0083223,Cosmopolitan AF1b,Kenya,2021
Z0083224,Cosmopolitan AF1b,Kenya,2021
Z0083225,Cosmopolitan AF1b,Kenya,2021
Z0083226,Cosmopolitan AF1b,Kenya,2021
Z0083227,Cosmopolitan AF1b,Kenya,2021
Z0083228,Cosmopolitan AF1b,Kenya,2021
Z0083229,Cosmopolitan AF1b,Kenya,2021
Z0083231,Cosmopolitan AF1b,Kenya,2021
Z0083233,Cosmopolitan AF1b,Kenya,2021
Z0083234,Cosmopolitan AF1b,Kenya,2021
Z0083235,Cosmopolitan AF1b,Kenya,2021
Z0083236,Cosmopolitan AF1b,Kenya,2021
Z0083237,Cosmopolitan AF1b,Kenya,2021
Z0083239,Cosmopolitan AF1b,Kenya,2021
Z0083240,Cosmopolitan AF1b,Kenya,2021
Z0083243,Cosmopolitan AF1b,Kenya,2021
Z00832441,Cosmopolitan AF1b,Kenya,2021
Z00832442,Cosmopolitan AF1b,Kenya,2021
Z00832443,Cosmopolitan AF1b,Kenya,2021
Z0083245,Cosmopolitan AF1b,Kenya,2021
Z0083249,Cosmopolitan AF1b,Kenya,2022
Z0083252,Cosmopolitan AF1b,Kenya,2021
Z0083253,Cosmopolitan AF1b,Kenya,2021
