"ID","lineage","lineage_countries_seen","lineage_first_seen","lineage_last_seen"
"Z00861811","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861826","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861832","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861834","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00865561","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00865570","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00865560","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861831","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861816","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861858","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861870","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861871","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861877","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861872","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861823","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00865562","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861827","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861843","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861862","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861846","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861852","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861839","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861820","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861807","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861810","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861824","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861815","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861829","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861835","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00865566","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861836","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861837","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861842","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861853","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861869","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861851","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861854","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861850","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861860","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861838","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861855","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861865","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861840","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861867","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861864","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861847","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861844","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861859","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861874","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861809","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00865564","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861863","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861845","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
"Z00861875","Cosmopolitan AF1a_A1.1","c(""Algeria"", ""Ethiopia"", ""Kenya"", ""Somalia"")",1987,2018
